"","ENV","GEN","REP","GY","HM"
"1","E1","G1","1",2.167,44.93
"2","E1","G1","2",2.50304,46.9
"3","E1","G1","3",2.42732,47.75
"4","E1","G2","1",3.2075,45.2
"5","E1","G2","2",2.9329,45.3
"6","E1","G2","3",2.56484,45.49
"7","E1","G3","1",2.7694,46.7
"8","E1","G3","2",3.62096,43.21
"9","E1","G3","3",2.2754,47.75
"10","E1","G4","1",2.3595,47.93
"11","E1","G4","2",3.0242,47.95
"12","E1","G4","3",2.382,49
"13","E1","G5","1",2.28856,49
"14","E1","G5","2",2.1157,51
"15","E1","G5","3",2.16052,49.65
"16","E1","G6","1",2.5223,48.6
"17","E1","G6","2",2.1861,47.75
"18","E1","G6","3",2.194,48.4
"19","E1","G7","1",2.5921,46.9
"20","E1","G7","2",2.82544,47.3
"21","E1","G7","3",2.90364,48.15
"22","E1","G8","1",2.92584,47.55
"23","E1","G8","2",2.88148,47.75
"24","E1","G8","3",2.89076,48.6
"25","E1","G9","1",2.75992,50.3
"26","E1","G9","2",2.21086,46.7
"27","E1","G9","3",2.007,46.05
"28","E1","G10","1",2.17908,47.3
"29","E1","G10","2",1.26688,44.64
"30","E1","G10","3",2.47626,48.8
"31","E2","G1","1",3.04073,40.41
"32","E2","G1","2",3.15697,43.02
"33","E2","G1","3",2.92437,44.29
"34","E2","G2","1",2.78412,41.43
"35","E2","G2","2",3.67695,42.69
"36","E2","G2","3",3.23209,46.25
"37","E2","G3","1",3.39484,40.7
"38","E2","G3","2",3.876,41.81
"39","E2","G3","3",3.554,44.44
"40","E2","G4","1",3.17862,41.29
"41","E2","G4","2",3.36844,43.02
"42","E2","G4","3",3.02318,47
"43","E2","G5","1",3.071,46.05
"44","E2","G5","2",3.41821,46
"45","E2","G5","3",2.9312,48.6
"46","E2","G6","1",3.15453,45.19
"47","E2","G6","2",3.495,45.48
"48","E2","G6","3",3.22399,48.15
"49","E2","G7","1",1.243,46.25
"50","E2","G7","2",2.89791,46.05
"51","E2","G7","3",3.69712,43.38
"52","E2","G8","1",3.211,45.65
"53","E2","G8","2",3.197,47.1
"54","E2","G8","3",3.92639,43.85
"55","E2","G9","1",2.65963,40.71
"56","E2","G9","2",3.20378,39.67
"57","E2","G9","3",3.42118,39.7
"58","E2","G10","1",3.019,45.5
"59","E2","G10","2",3.22442,46.05
"60","E2","G10","3",3.1941,43.88
"61","E3","G1","1",4.11,52
"62","E3","G1","2",3.663,50
"63","E3","G1","3",4.468,50
"64","E3","G2","1",4.614,49
